seq_length,lstm_units,n_layers,dropout_rate,learning_rate,batch_size,val_loss,val_mae,epochs_trained
10,64,2,0.2,0.0005,16,0.05466671660542488,0.19827187061309814,19
15,32,1,0.3,0.001,32,0.05468223989009857,0.1897067427635193,23
10,32,2,0.2,0.0005,16,0.05510587617754936,0.19126856327056885,16
10,64,2,0.2,0.001,32,0.0566662959754467,0.19683410227298737,22
20,32,1,0.2,0.0005,32,0.05816398188471794,0.19976146519184113,26
20,32,2,0.1,0.001,32,0.05825556442141533,0.20036004483699799,15
15,64,1,0.2,0.0005,32,0.05837780982255936,0.19773449003696442,17
10,64,2,0.1,0.001,32,0.05853133276104927,0.20165111124515533,25
20,32,1,0.3,0.0005,16,0.05866719409823418,0.19871704280376434,47
15,64,2,0.1,0.0005,32,0.058780983090400696,0.20807293057441711,13
10,128,1,0.1,0.0005,16,0.05903821438550949,0.19646354019641876,21
20,64,1,0.2,0.0005,32,0.059078067541122437,0.2066354900598526,53
20,32,1,0.2,0.001,32,0.05933563411235809,0.20106199383735657,34
20,64,2,0.2,0.0005,32,0.05935081094503403,0.20053964853286743,24
20,128,1,0.2,0.0005,16,0.05936009809374809,0.2059657722711563,15
15,64,2,0.1,0.001,16,0.06001995503902435,0.20661963522434235,11
20,32,1,0.3,0.001,32,0.060252901166677475,0.20501163601875305,16
15,32,2,0.1,0.0005,16,0.060644205659627914,0.20586244761943817,12
15,32,1,0.1,0.001,32,0.06115502491593361,0.20116662979125977,37
10,64,1,0.2,0.001,32,0.06203586235642433,0.20943492650985718,22
15,64,1,0.2,0.001,32,0.06260775774717331,0.19976681470870972,15
10,32,2,0.2,0.001,16,0.06337980180978775,0.2069086730480194,19
20,128,1,0.1,0.001,32,0.06367790699005127,0.20280803740024567,18
20,32,2,0.3,0.0005,32,0.0636826902627945,0.20451156795024872,30
15,32,1,0.2,0.001,16,0.0643605887889862,0.21615172922611237,18
15,64,2,0.1,0.0005,16,0.06447339057922363,0.20772290229797363,18
10,64,2,0.3,0.0005,32,0.06450282782316208,0.21620239317417145,29
10,32,1,0.3,0.0005,16,0.06474725902080536,0.21461373567581177,33
15,32,2,0.3,0.0005,32,0.06482549011707306,0.20731937885284424,26
15,64,2,0.2,0.001,32,0.0654059574007988,0.20741523802280426,14
15,64,2,0.3,0.001,32,0.06548597663640976,0.20689140260219574,28
10,32,1,0.2,0.001,16,0.06578002125024796,0.20683671534061432,34
20,64,1,0.3,0.001,16,0.06674443185329437,0.22169402241706848,29
10,64,1,0.2,0.0005,16,0.06739781051874161,0.22754712402820587,31
20,32,2,0.3,0.001,32,0.06884054094552994,0.22285227477550507,22
10,32,1,0.1,0.001,32,0.06903330981731415,0.21807415783405304,22
10,64,1,0.1,0.001,32,0.06981705129146576,0.21948781609535217,16
10,32,2,0.3,0.0005,32,0.07101616263389587,0.2255294919013977,85
10,32,2,0.3,0.001,32,0.07196006178855896,0.23034368455410004,23
10,64,2,0.1,0.001,16,0.07270925492048264,0.2155849039554596,12
15,64,2,0.3,0.0005,16,0.07318852841854095,0.2300119549036026,17
20,64,1,0.1,0.001,32,0.07366787642240524,0.20694108307361603,28
15,64,2,0.2,0.0005,16,0.07411376386880875,0.22960256040096283,15
15,32,1,0.1,0.001,16,0.07475505769252777,0.2302345633506775,22
